year,category,rank,name,country,performance_1,performance_2,performance_3,performance_4,skill_1,skill_2,skill_3,skill_4,deductions,overall,Remarks
"August 06, 2019",Preliminary,14,Power Impact Dancers,Philippines,3.77,3.82,4.05,3.33,3.68,3.42,3.31,3.20,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,15,The Lab,USA,3.70,3.94,3.20,3.32,3.84,3.46,3.69,3.60,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,16,Flash,Taiwan,3.73,3.81,3.35,3.18,3.51,3.83,3.60,3.46,,,
"August 06, 2019",Preliminary,17,L.I.V.E. Army,Canada,3.43,3.47,3.70,3.18,4.06,3.80,3.36,3.40,,,
"August 06, 2019",Preliminary,18,BTG Family,Mexico,3.17,3.95,3.45,3.31,3.80,2.98,4.25,3.64,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,19,Urban Squad Megacrew,Thailand,2.88,3.60,3.60,3.24,3.64,3.51,3.24,3.62,,,
"August 06, 2019",Preliminary,20,ZN Crew,South Korea,2.90,4.00,3.55,3.05,4.01,3.85,3.48,3.45,,,
"August 06, 2019",Preliminary,21,Wolfpack,Australia,3.66,3.65,3.40,3.11,3.50,3.62,3.35,3.00,,,
"August 06, 2019",Preliminary,22,Cool Giraffes,Canada,3.24,3.73,3.10,3.29,3.73,3.80,3.18,3.70,0.10,,Deductions: Lewd Gestures - 0.10
"August 06, 2019",Preliminary,23,Mixers,Spain,3.24,3.67,3.25,3.16,3.49,3.62,3.71,3.51,,,
"August 06, 2019",Preliminary,24,KCC,Australia,3.80,3.10,3.25,3.21,3.91,3.57,3.54,3.33,,,
"August 06, 2019",Preliminary,25,Regulu's,Japan,3.56,3.35,3.25,2.72,3.57,3.81,3.39,3.34,,,
"August 06, 2019",Preliminary,26,Studio 51,Philippines,3.16,3.29,2.75,3.22,3.89,3.74,3.53,3.33,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,27,Millenium Crew,Brazil,3.37,3.60,2.95,2.87,3.53,3.86,3.66,3.25,,,
"August 06, 2019",Preliminary,28,Maker Empire,USA,3.15,3.90,2.75,3.21,3.65,3.70,3.49,3.38,,,
"August 06, 2019",Preliminary,29,Royalty,Dominican Republic,3.36,3.45,2.70,3.21,3.58,3.53,3.46,2.92,0.05,,Deductions: Minor Fall (1 @ 0.05 each) - 0.05
"August 06, 2019",Preliminary,30,ADS,Dominican Republic,3.28,3.57,3.50,3.16,3.53,3.22,3.27,3.07,,,
"August 06, 2019",Preliminary,31,V MO,USA,3.18,3.85,3.50,3.05,3.49,3.02,3.49,2.87,,,
"August 06, 2019",Preliminary,32,Uniqty,Thailand,3.21,3.09,2.85,3.12,3.49,3.02,3.49,2.87,,,
"August 06, 2019",Preliminary,33,Imperio Family Crew,Peru,2.35,3.37,3.50,2.95,3.55,3.48,3.33,3.19,,,
"August 06, 2019",Preliminary,34,Elite Cybernetikos,Brazil,3.36,2.99,3.15,3.06,3.51,3.48,3.30,3.30,,,
"August 06, 2019",Preliminary,35,G-Run,Thailand,3.13,2.99,2.95,3.22,3.37,3.50,3.47,3.22,,,
"August 06, 2019",Preliminary,36,Kookies N Kreme,Australia,3.00,3.62,3.25,3.03,3.69,3.51,3.14,3.45,0.20,,Deductions: Language (2 @ 0.10 each) - 0.20
"August 06, 2019",Preliminary,37,RP Nation,Portugal,3.60,2.63,2.10,3.12,3.56,3.10,3.26,3.40,,,
"August 06, 2019",Preliminary,38,La Zona,Costa Rica,2.18,3.32,3.35,2.64,3.29,2.95,3.25,3.06,,,
"August 06, 2019",Preliminary,39,Mega Unity,France,3.37,3.01,2.85,2.63,3.05,3.24,2.85,3.29,,,
"August 06, 2019",Preliminary,40,Genesis,Israel,2.35,2.74,2.95,2.98,3.06,2.97,3.11,2.58,,,
"August 06, 2019",Preliminary,41,PNL Dance Co.,Canada,2.75,2.84,2.30,2.82,3.20,3.01,3.15,2.86,,,
"August 06, 2019",Preliminary,42,We Are One,Spain,3.03,2.85,2.25,2.58,2.90,3.40,2.97,3.20,,,
"August 06, 2019",Preliminary,43,Equality,Switzerland,2.77,2.48,2.85,2.44,2.97,3.44,3.18,3.13,,,
"August 06, 2019",Preliminary,44,Mr.Frog,Taiwan,2.73,2.78,2.45,2.55,3.15,2.80,3.08,2.92,,,
"August 06, 2019",Preliminary,45,Fabulous Megacrew,Argentina,2.87,2.89,2.55,2.66,3.13,2.72,3.20,2.65,0.10,,Deductions: Major Fall (1 @ 0.10 each) - 0.1
"August 06, 2019",Preliminary,46,Diversity Dance Company,Argentina,2.52,3.04,2.60,2.46,3.01,3.01,3.13,3.06,,,
"August 06, 2019",Preliminary,47,Rebounce,Belgium,2.88,3.24,2.85,2.71,3.15,3.42,3.38,2.65,0.55,,"Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5, Inappropriate Clothing - 0.05"
"August 06, 2019",Preliminary,48,Trashers Mega Crew,Peru,1.60,2.85,2.65,2.55,3.33,2.58,3.10,2.79,,,
"August 06, 2019",Preliminary,49,Salvador,Ireland,2.00,2.42,2.45,2.38,2.90,2.94,2.78,2.64,,,
"August 06, 2019",Preliminary,50,Los Chicanos,France,2.96,2.88,2.50,2.72,2.95,2.84,2.89,3.24,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,51,Mata Dance Crew,Fiji,1.90,2.82,2.55,2.52,2.47,2.89,2.78,2.10,,,
"August 06, 2019",Preliminary,52,Z Effect,Trinidad & Tobago,1.92,2.36,2.60,2.25,3.00,2.70,2.87,2.43,,,
"August 06, 2019",Preliminary,53,XO Family,South Africa,2.33,2.71,2.35,2.47,2.61,2.65,3.15,2.45,,,
"August 06, 2019",Preliminary,54,Natural Family,Colombia,3.35,2.75,2.45,2.44,2.95,2.72,3.22,2.18,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,55,Apasionarte,Bolivia,1.96,2.54,2.30,2.53,2.44,2.30,2.78,2.23,,,
"August 06, 2019",Preliminary,56,LD Crew,Switzerland,2.73,2.53,2.45,2.68,2.93,2.35,2.92,2.23,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,57,Brothers Junior,Romania,2.10,2.47,2.30,2.21,2.39,2.11,2.72,2.46,,,
"August 08, 2019",Semi-Finals,1,Kana-Boon! All Star,Japan,4.12,4.24,3.95,3.74,4.40,4.10,4.37,4.26,,,
"August 08, 2019",Semi-Finals,2,Legit Status,Philippines,4.08,4.02,3.85,3.63,4.13,3.91,4.06,3.97,,,
"August 08, 2019",Semi-Finals,3,The Jukebox,Mexico,3.97,4.21,3.30,3.55,4.41,4.09,4.24,4.15,,,Defending Champions (HHI 2018)
"August 08, 2019",Semi-Finals,4,J.B.Star,Japan,3.94,4.13,3.30,3.44,4.20,3.89,4.04,4.06,,,
"August 08, 2019",Semi-Finals,5,The Royal Family,New Zealand,3.87,4.23,3.35,3.54,4.14,4.09,3.75,3.85,,,
"August 08, 2019",Semi-Finals,6,La Docta,Argentina,3.77,3.50,3.50,3.47,4.25,3.93,3.91,3.56,,,
"August 08, 2019",Semi-Finals,7,Klimax,Spain,3.57,3.68,3.68,3.32,3.90,3.87,3.84,3.53,,,
"August 08, 2019",Semi-Finals,8,C-Fam,Netherlands,3.92,3.57,3.57,3.49,4.01,3.98,3.53,3.45,,,
"August 08, 2019",Semi-Finals,9,Art of Motion,Russia,3.69,3.17,3.17,3.39,3.80,3.91,3.79,3.76,,,
"August 08, 2019",Semi-Finals,10,The Lab,USA,3.29,3.38,3.38,3.49,3.67,3.94,3.80,3.93,,,
"August 08, 2019",Semi-Finals,11,IMD Legion,United Kingdom,3.64,3.31,3.31,3.22,3.86,3.76,4.02,3.38,,,
"August 08, 2019",Semi-Finals,12,SPQR,Italy,3.30,3.26,3.26,3.32,3.91,3.87,4.05,3.91,,,
"August 08, 2019",Semi-Finals,13,Saintz Dance Academy,New Zealand,3.75,3.57,3.57,3.23,3.74,3.60,3.41,3.32,,,
"August 08, 2019",Semi-Finals,14,Power Impact Dancers,Philippines,3.61,3.51,3.29,3.18,3.75,3.62,3.62,3.93,,,
"August 08, 2019",Semi-Finals,15,Yung ID,New Zealand,3.47,3.82,3.13,3.26,3.94,4.00,4.08,3.36,0.05,,Deductions: Attire not Intact - 0.05
"August 08, 2019",Semi-Finals,16,Mexa Urban Company,Mexico,3.48,3.61,2.40,3.07,3.68,3.79,3.79,3.53,,,
"August 08, 2019",Semi-Finals,17,Flash,Taiwan,3.47,3.26,3.11,3.34,3.74,3.48,3.40,3.69,,,
"August 08, 2019",Semi-Finals,18,L.I.V.E. Army,Canada,3.43,3.14,3.43,3.32,3.69,3.41,3.41,3.35,,,
"August 08, 2019",Semi-Finals,19,BTG Family,Mexico,3.21,3.26,3.13,3.17,3.72,4.05,4.05,3.74,,,
"August 08, 2019",Semi-Finals,20,ZN Crew,South Korea,3.32,3.23,3.30,3.21,3.70,3.61,3.61,3.34,,,
"August 08, 2019",Semi-Finals,21,Urban Squad Megacrew,Thailand,3.00,3.11,3.10,3.23,3.61,3.37,3.37,3.05,,,
"August 08, 2019",Semi-Finals,22,Wolfpack,Australia,3.53,3.17,3.08,3.15,3.64,3.32,3.32,3.29,,,
"August 08, 2019",Semi-Finals,23,Mixers,Spain,3.24,3.17,2.50,3.04,3.62,3.40,3.40,3.02,,,
"August 08, 2019",Semi-Finals,24,Cool Giraffes,Canada,3.29,3.18,3.85,3.03,3.66,3.32,3.32,3.25,,,
"August 10, 2019",Finals,1,Kana-Boon! All Star,Japan,4.13,3.84,3.84,3.84,4.28,4.13,4.47,4.46,,,
"August 10, 2019",Finals,2,The Jukebox,Mexico,3.97,3.69,3.55,3.61,4.23,4.02,4.20,4.24,,,
"August 10, 2019",Finals,3,Legit Status,Philippines,4.07,3.67,3.72,3.72,4.03,3.95,4.21,3.97,,,
"August 10, 2019",Finals,4,The Royal Family,New Zealand,3.94,3.79,3.45,3.57,3.82,3.84,3.80,3.78,,,
"August 10, 2019",Finals,5,La Docta,Argentina,3.87,3.50,3.10,3.57,4.10,3.72,3.92,3.77,,,
"August 10, 2019",Finals,6,J.B.Star,Japan,3.90,3.50,3.41,3.40,3.90,3.82,4.06,3.91,0.05,,Deductions: Attire not Intact - 0.05
"August 10, 2019",Finals,7,Klimax,Spain,3.56,3.36,3.50,3.21,3.79,3.69,3.79,3.66,,,
"August 10, 2019",Finals,8,C-Fam,Netherlands,3.85,3.34,3.17,3.24,3.83,3.61,3.62,3.42,,,
